average_precision;undersampling_majority_class;model__bootstrap;model__n_estimators;model__max_depth;model__min_samples_split;model__min_samples_leaf;model__max_features;model__class_weight
0.9291920998418634;False;1;61;2;17;2;auto;balanced_subsample
0.9314832990529666;False;0;11;10;16;1;sqrt;balanced
0.9374923107722835;True;0;57;8;17;3;sqrt;balanced_subsample
0.9425557210692349;True;1;55;7;5;3;sqrt;balanced_subsample
0.9441527155948126;False;1;57;8;18;3;auto;balanced
0.9391058045325462;True;0;56;8;7;3;auto;balanced
0.9410394536158048;False;1;55;5;11;4;sqrt;balanced
0.9377987218794862;False;1;59;10;15;4;auto;balanced_subsample
0.9359629669308924;False;0;46;3;7;1;sqrt;balanced_subsample
0.9398882326478804;False;1;67;9;15;1;auto;balanced_subsample
0.9290191419997343;True;0;19;4;8;3;auto;balanced_subsample
0.9218239653435957;False;0;56;2;8;3;auto;balanced
0.9333472900072841;True;1;46;7;20;4;sqrt;balanced
0.9207813785490805;True;0;93;3;5;2;auto;balanced_subsample
0.9332026601350367;True;1;30;9;17;1;auto;balanced_subsample
0.9290198035393565;True;1;24;4;18;2;sqrt;balanced_subsample
0.931525110649598;True;0;66;8;8;3;sqrt;balanced_subsample
0.9296965516667983;True;1;56;4;11;1;auto;balanced
0.9268121471152964;True;0;37;4;11;1;auto;balanced
0.9328830709033307;False;0;18;9;11;3;auto;balanced
0.9131339351274513;True;1;58;5;18;3;auto;balanced
0.9109970215672581;False;0;41;10;7;4;sqrt;balanced_subsample
0.9084370124542149;True;1;54;7;7;3;auto;balanced
0.9087644525523197;False;0;19;5;9;2;auto;balanced
0.9074870466946572;False;0;61;5;13;2;sqrt;balanced_subsample
0.9111452811483607;True;1;33;7;15;3;sqrt;balanced_subsample
0.9018481242106215;True;0;29;2;13;3;sqrt;balanced_subsample
0.9115560858042463;False;0;84;2;11;3;sqrt;balanced
0.9110893578456443;False;0;59;6;15;3;auto;balanced_subsample
0.90842574510339;True;0;67;3;18;3;auto;balanced
